company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,previous_debt_to_equity,de_ratio_declining,revenue_cagr_3y_pct,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
HDFCLIFE,Sep 2024,,,0.0,0.06088182517303256,,0.0,0.0,,,73.0,,950.0,0.0,-100.0,-100.0,,,Financials,HDFC Life Insurance Company Ltd,Financials,Life Insurance,2024,0.06477567162143734,True,12.366704821498665,Life Insurance,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,70.29702970297029,46.53465346534654,50,50,50,48.25255970975248,False,True,100.0,50.0,100.0,100.0,0.0,100.0,80.0,4.0
HCLTECH,Sep 2024,,,0.0,0.08407985480943739,,0.0,0.0,,,254.0,,5791.0,0.0,-100.0,-100.0,,,Information Technology,HCL Technologies Ltd,Information Technology,IT Services,2024,0.08435023365512796,True,13.396477329776978,IT Services,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,65.34653465346535,46.53465346534654,50,50,50,47.75751020480199,False,True,100.0,50.0,100.0,100.0,60.0,100.0,88.0,5.0
NESTLEIND,Sep 2024,,,0.0,0.09273182957393483,,0.0,0.0,,,41.0,,370.0,0.0,-100.0,-100.0,,,Consumer Staples,Nestle India Ltd,Consumer Staples,Food Products,2024,0.10329341317365268,True,18.282008662499027,FMCG,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,63.366336633663366,46.53465346534654,50,50,50,47.55949040282179,False,True,100.0,50.0,100.0,100.0,57.14285714285714,100.0,87.61904761904763,7.0
JINDALSTEL,Sep 2024,,,0.0,0.3647155742379755,,0.0,0.0,,,464.0,,17266.0,0.0,-100.0,,,,Materials,Jindal Steel & Power Ltd,Materials,Steel,2024,0.3716941962270963,True,13.346256701428505,Steel,False,42.857142857142854,50,,41.91919191919192,,49.504950495049506,46.53465346534654,50,50,50,47.320410612489816,False,True,100.0,50.0,100.0,50.0,75.0,100.0,80.0,4.0
GAIL,Sep 2024,,,0.0,0.2342469185886957,,0.0,0.0,,,127.0,,19632.0,0.0,-100.0,-100.0,,,Energy,GAIL (India) Ltd,Energy,Gas Distribution,2024,0.28304998896060884,True,32.42353373080278,Oil & Gas,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,53.46534653465347,46.53465346534654,50,50,50,46.5693913929208,False,True,100.0,50.0,100.0,100.0,80.0,100.0,90.66666666666667,5.0
ADANIPOWER,Sep 2024,,,0.0,0.6738570969010258,,0.0,0.0,,,145.0,,37705.0,0.0,-100.0,,,,Energy,Adani Power Ltd,Energy,Power & Utilities,2024,0.8023177656738903,True,24.294797156226156,Power & Utilities,False,42.857142857142854,50,,41.91919191919192,,39.603960396039604,46.53465346534654,50,50,50,46.33031160258883,False,True,100.0,50.0,100.0,50.0,85.71428571428572,100.0,81.42857142857143,7.0
ATGL,Sep 2024,,,0.0,0.3725389925850166,,0.0,0.0,,,36.0,,1457.0,0.0,-100.0,-100.0,,,Energy,Adani Total Gas Ltd,Energy,Gas Distribution,2024,0.4349162011173184,True,38.18335427451367,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,48.51485148514851,46.53465346534654,50,50,50,46.074341887970306,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
TRENT,Sep 2024,,,0.0,0.3935897435897436,,0.0,0.0,,,132.0,,1842.0,0.0,-100.0,-100.0,,,Consumer Discretionary,Trent Ltd,Consumer Discretionary,Retail,2024,0.4309242871189774,True,68.36335197744833,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,46.53465346534653,46.53465346534654,50,50,50,45.876322085990104,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
TORNTPHARM,Sep 2024,,,0.0,0.4168443496801706,,0.0,0.0,,,222.0,,3128.0,0.0,-100.0,-100.0,,,Healthcare,Torrent Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,2024,0.5866394399066511,True,10.251830698592634,Pharmaceuticals,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,45.54455445544554,46.53465346534654,50,50,50,45.77731218500001,False,True,100.0,50.0,100.0,100.0,0.0,100.0,80.0,5.0
RELIANCE,Sep 2024,,,0.0,0.4362971396773213,,0.0,0.0,,,606.0,,357525.0,0.0,-100.0,-100.0,,,Energy,"Reliance Industries Ltd
",Energy,Conglomerates,2024,0.5784524141094746,True,24.46173600944801,Oil & Gas,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,44.55445544554455,46.53465346534654,50,50,50,45.67830228400991,False,True,100.0,50.0,100.0,100.0,60.0,100.0,88.0,5.0
