company_id,year,fiscal_year,net_profit_margin_pct,operating_profit_margin_pct,pbt_margin_pct,ebit_margin_pct,expense_ratio_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,debt_to_assets,debt_to_capital,liabilities_to_assets,interest_coverage,net_debt_cr,net_debt_to_ebitda,cash_from_operations_cr,free_cash_flow_cr,capex_cr,cfo_margin_pct,fcf_margin_pct,cfo_to_pat,capex_to_sales_pct,fcf_to_ebitda,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_yield_pct,fcf_yield_pct,revenue_yoy_growth_pct,pat_yoy_growth_pct,eps_yoy_growth_pct,operating_profit_yoy_growth_pct,revenue_cagr_3y_pct,pat_cagr_3y_pct,eps_cagr_3y_pct,operating_profit_cagr_3y_pct,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5y_pct,operating_profit_cagr_5y_pct,revenue_cagr_10y_pct,pat_cagr_10y_pct,eps_cagr_10y_pct,operating_profit_cagr_10y_pct,debt_free_flag,negative_equity_flag,cfo_positive_flag,fcf_positive_flag,high_quality_earnings_flag,fcf_negative_3yr_flag,revenue_growth_positive_flag,pat_growth_positive_flag,capital_allocation_pattern,id,company_name,broad_sector,sub_sector,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score
INDIGO,Mar 2024,2024,11.852722628584695,76.29890862649484,11.672762103796588,67.00191570881226,6.973470335539302,892.568306010929,4953.540772532189,668.3306055646481,0.0185792349726775,0.013911620294599,0.0182403433476394,1.0,22.61263972484953,-171,-0.003252620166245,21183.0,9424.0,11759.0,30.74277255311738,13.676999883896436,2.593730868127832,17.065772669220944,0.1792555113841706,212.0,190.625,0.0,1040632.92,1061542.29,76.23,7.87,24.64,4.27,1.3118194936376757,0.9056027172386588,26.55475149689601,-2676.340694006309,-2750.0,9.696198305721326,67.58091776468258,,,53.14177356042104,19.313355125806165,120.69250867467932,121.23568222761168,12.910333564937003,20.01227897172877,32.9316579498421,-34.87773528813343,17.27431045386758,False,False,True,True,True,False,True,False,Reinvesting + Returning Capital,INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Airlines,97.95918367346938,100.0,40.816326530612244,83.50515463917526,100.0,85.71428571428572,76.28865979381443,71.11111111111111,3.296703296703296,46.15384615384615,79.97410542329541
IRCTC,Mar 2024,2024,26.01873536299766,34.33255269320843,35.03512880562061,32.99765807962529,65.66744730679157,34.39628482972136,42.82674772036474,18.240026268264653,0.0185758513931888,0.0098505992447873,0.0182370820668693,1.0,82.73684210526316,60,0.0409276944065484,882.0,667.0,215.0,20.655737704918035,15.620608899297425,0.7938793879387939,5.035128805620609,0.4549795361527967,14.0,40.375,47.0,1258520.29,1473943.68,60.44,5.74,32.47,1.08,1.6545334215751155,0.0529987482363117,20.58740468794127,10.437375745526833,7.692307692307687,14.890282131661436,76.46921430165466,81.11627776293705,91.29311827723888,98.30121432706068,17.955244103890912,29.16686408659448,28.47351571234393,30.793764339500186,,,,,False,False,True,True,False,False,True,True,Reinvesting + Returning Capital,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Travel & Tourism,84.6938775510204,84.5360824742268,85.71428571428571,78.35051546391753,85.22727272727273,86.73469387755102,36.08247422680412,38.88888888888889,23.076923076923073,64.83516483516483,75.16991200993411
TRENT,Mar 2024,2024,11.935353535353537,15.927272727272726,15.523232323232325,10.505050505050503,84.07272727272728,36.30776794493609,22.33293248582718,20.622731080703712,0.4309242871189774,0.2447640323931862,0.3011510049819618,1.0,8.043478260869565,337,0.1709791983764586,1349.0,841.0,508.0,10.9010101010101,6.795959595959595,0.913337846987136,4.105050505050505,0.4266869609335362,42.0,113.0,8.0,571322.04,566293.08,8.65,11.82,34.65,3.46,11.560693641618498,0.1472024429514394,50.14559572919195,274.8730964467005,223.0769230769231,76.92998204667865,68.36335197744833,,,158.57940054703036,36.30691600183056,73.11367578503176,69.52182030724354,52.24180218707948,18.15797703617492,,,,False,False,True,True,False,False,True,True,Reinvesting + Returning Capital,TRENT,Trent Ltd,Consumer Discretionary,Retail,86.73469387755102,70.10309278350515,41.83673469387755,98.96907216494846,95.45454545454545,48.97959183673469,39.175257731958766,52.22222222222223,98.9010989010989,14.28571428571429,71.34770972768027
LTIM,Mar 2024,2024,12.90931103415266,17.982937748120616,17.0312807951122,15.67699974660022,82.01706225187938,22.904386052552702,25.20711666440309,16.64609352309033,0.1034568888000799,0.0751887888469358,0.0937570736565711,1.0,31.93243243243243,-6673,-1.044778456239236,5670.0,1752.0,3918.0,15.964186164371991,4.932849058197483,1.236641221374046,11.031337106174508,0.2743071864725223,155.0,667.2666666666667,42.0,1347046.9,1647384.23,64.52,2.38,18.9,4.43,1.549907005579665,0.1300622866212007,7.0337220866106165,3.968253968253976,4.026845637583887,4.567779960707274,42.13101535214459,33.24835486418234,11.772828128939317,32.83427095144271,30.32798083513346,24.775129058601,12.24383304425547,27.67013547539683,21.85605589762474,16.495191642458163,-6.666549487610296,18.733521815984112,False,False,True,True,True,False,True,True,Reinvesting + Returning Capital,LTIM,LTIMindtree Ltd,Information Technology,IT Services,71.42857142857143,74.22680412371135,47.95918367346938,95.87628865979381,81.81818181818183,61.73469387755102,56.70103092783505,51.11111111111111,17.582417582417587,91.75824175824175,70.60900071945727
HAL,Mar 2024,2024,24.999177117277245,32.08913465652875,33.57032355748659,27.46124222375827,67.90757381258024,3816.582914572864,2590.993788819876,1687.7777777777776,0.6180904522613065,0.2733333333333333,0.3819875776397515,1.0,270.8837209302326,80,0.0082059698430608,8226.0,1814.0,6412.0,27.076133109509232,5.970837036305586,1.083080974325214,21.105296073203647,0.1860703661914042,114.0,199.0,31.0,2643616.86,3140281.78,71.89,3.65,8.76,2.77,1.3910140492418974,0.0686181128380305,12.823083778966126,30.70039580106694,31.034482758620683,46.183835657519865,9.909701355201484,32.85327865470051,33.420082436097246,22.211619004158536,8.712548590236358,26.485270563052985,26.63896760913802,16.366449196003607,,,,,False,False,True,True,True,False,True,True,Reinvesting + Returning Capital,HAL,Hindustan Aeronautics Ltd,Industrials,Defence & Aerospace,98.9795918367347,97.9381443298969,84.6938775510204,28.865979381443296,84.0909090909091,39.795918367346935,57.73195876288659,46.666666666666664,7.692307692307687,85.71428571428572,69.37369883430266
ADANIPOWER,Mar 2024,2024,41.36759945184802,36.20186292228556,41.29411531052015,28.39466942066692,63.80012313558817,48.27674122146251,18.385823227581948,22.63800280407352,0.8023177656738903,0.3762240650371159,0.4451588842736076,1.0,8.297225501770956,34242,1.8785385121790648,14170.0,17651.0,3481.0,28.14244007070366,35.055907529145394,0.6803015027125642,6.91346745844174,0.9683454026772,54.0,111.86155042779365,0.0,1372183.55,1357949.64,44.57,9.91,24.76,1.65,2.243661655822302,1.2863439442922924,29.86098573749773,94.17358068425467,92.85714285714286,80.54675118858954,24.29479715622616,154.07088459944453,162.07413942088965,28.01859874482009,16.086096410440966,,,29.61331745878661,12.629527157691523,,,14.779481208619805,False,False,True,True,False,False,True,True,Asset Sale + Debt/Dividend Outflow,ADANIPOWER,Adani Power Ltd,Energy,Power & Utilities,90.81632653061224,61.855670103092784,95.91836734693877,72.16494845360825,,34.693877551020414,84.5360824742268,77.77777777777779,52.74725274725275,25.82417582417582,66.66894592888701
INFY,Mar 2024,2024,17.08075746730006,23.703390381987376,23.41901477191384,20.65920478948396,76.29660961801262,29.788006718416632,32.906970717802544,19.297162182032054,0.0948635889055336,0.0614541979120717,0.0866442083441306,1.0,87.52340425531915,-16264,-0.446506520247083,25210.0,20117.0,5093.0,16.405284050237523,13.09103923992972,0.960454129838464,3.314244810307802,0.5522855181880576,63.0,212.73780782230807,,1112279.92,1372029.68,35.99,8.97,36.7,4.1,2.778549597110308,1.808627454139422,4.7033733741236095,8.876721420275423,8.62068965517242,3.6863079988613823,15.216500798806363,10.558796476740762,11.86889420813968,9.308903891343,13.199100930556227,11.23941998365794,12.474611314209485,12.548246333662917,11.852717458931128,9.433477603192465,10.60156477390728,10.525349868944756,False,False,True,True,False,False,True,True,Reinvesting + Returning Capital,INFY,Infosys Ltd,Information Technology,IT Services,82.6530612244898,81.44329896907216,67.3469387755102,59.79381443298969,34.090909090909086,65.3061224489796,88.65979381443299,82.22222222222221,59.34065934065934,39.56043956043956,65.77350300656633
NESTLEIND,Mar 2024,2024,16.12281708616873,23.829630236943512,21.6815610395999,21.624169877838813,76.17036976305648,117.75449101796409,143.14789687924016,37.37527321106148,0.1032934131736526,0.0327853273781241,0.0936227951153324,1.0,41.18620689655173,-119,-0.0204713573025976,4175.0,2938.0,1237.0,17.11486431089612,12.043945232434206,1.0615306381896772,5.070919078461917,0.5054188886977464,41.0,34.791666666666664,79.0,1677775.19,1677279.88,54.96,14.34,15.49,3.85,1.8195050946142648,0.1751128528727379,27.54365784795567,31.14371457152385,32.258064516129025,30.01565645269515,18.282008662499027,22.913427743605965,23.06098642720351,17.734064131162008,14.548573711802671,14.85231951299384,15.43852585822143,14.716318276818471,9.487020936359048,12.745848564103014,13.073350509641957,11.044821344019562,False,False,True,True,True,False,True,True,Reinvesting + Returning Capital,NESTLEIND,Nestle India Ltd,Consumer Staples,Food Products,96.93877551020408,92.78350515463917,65.3061224489796,63.91752577319587,44.31818181818182,63.26530612244898,60.824742268041234,56.666666666666664,34.065934065934066,1.098901098901095,65.39155708062188
LICI,Mar 2024,2024,4.836600998148862,3.87474201090824,5.557433750292565,3.819657054775251,96.12537619715214,49.44710986501021,39.05035832114759,0.7696696436280568,0.0,0.0,0.0,1.0,371.9375,-4976133,-151.8085664602337,26122.0,853.0,25269.0,3.0878309530170243,0.1008314754966511,0.6384299540522045,2.986999477520373,0.0260227584734128,66.0,130.82529644268774,15.0,183583.67,205478.22,30.67,8.1,12.21,3.77,3.2605151613955003,0.4646382763782856,7.817462542759124,13.665027641192328,1.538461538461533,-4.174584149443095,6.981735429882496,139.6168760853028,111.2590383290876,,8.15986061977938,73.17556747076097,,40.81690627585879,,,,,True,False,True,True,False,False,True,True,Reinvesting + Returning Capital,LICI,Life Insurance Corporation of India,Financials,Life Insurance,91.83673469387756,83.50515463917526,13.26530612244898,23.711340206185564,96.5909090909091,97.95918367346938,40.20618556701031,66.66666666666666,72.52747252747253,42.85714285714286,65.25891910004576
ITC,Mar 2024,2024,29.282025230717128,37.0177518132814,38.29763215081986,34.45516891033782,62.98365930065194,27.851074395694365,32.63868466782516,22.61590775334045,0.0040667319849141,0.0033023083462301,0.0040502606603395,1.0,362.9625,-30811,-1.1745130179544847,17179.0,18742.0,1563.0,24.241526260830295,26.44709733863912,0.8278637174112091,2.205571077808822,0.7144436396904662,16.0,59.7011217948718,84.0,332245.58,369131.93,47.85,3.24,17.19,4.26,2.089864158829676,5.641008076014133,-0.0747331462654599,6.541048416080497,6.666666666666665,2.0580454403983817,12.890307004910628,15.743119736566346,13.30326698854094,15.411004821649964,7.950896846254429,10.083407558317958,9.856054330611784,7.191834076692305,7.215836991741997,8.711334464026654,8.618098156466525,7.207216814830342,False,False,True,True,False,False,False,True,Asset Sale + Debt/Dividend Outflow,ITC,"ITC Ltd
",Consumer Staples,Diversified FMCG,80.61224489795919,80.41237113402062,90.81632653061224,20.618556701030926,29.545454545454547,90.81632653061224,86.5979381443299,94.44444444444444,45.05494505494505,89.01098901098901,65.20464991562193
