company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,broad_sector
ABB,Dec 2012,8.771929824561402,12.220205686630369,22.411128284389488,0.0,,1.822491730981257,42.0,3.569267997580157,68.0,1657.0,25.0,0.0,101.0,,,,0.696551724137931,Industrials
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,0.0,,1.9982440737489024,11.0,6.32688927943761,93.0,1657.0,25.0,0.0,155.0,,,,0.7828282828282829,Industrials
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,0.0,,1.9982440737489024,0.0,0.0,93.0,1657.0,25.0,0.0,0.0,,,,0.0,Industrials
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,0.0,,1.665938864628821,28.0,8.169506334643948,108.0,1657.0,29.0,0.0,215.0,,,,0.9388646288209607,Industrials
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,0.0,,1.665938864628821,-1899.0,81.43294014853649,108.0,1657.0,29.0,0.0,-35.0,,,,-0.15283842794759825,Industrials
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,0.0,121.66666666666667,1.6175742574257426,172.0,2.9456771231828616,120.0,1657.0,29.0,0.0,249.0,9.598988478517612,11.952664832522043,12.030033714161736,0.9764705882352941,Industrials
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,0.0,121.66666666666667,1.6175742574257426,728.0,31.216526396327467,120.0,1657.0,29.0,0.0,1544.0,2.8079418899369823,5.19013150122396,5.2300215891077695,6.0549019607843135,Industrials
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,0.0,199.0,1.40513068731849,152.0,5.339304168101963,130.0,1657.0,31.0,0.0,307.0,4.986862128546998,6.94559862302222,6.928156829257204,1.108303249097473,Industrials
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,0.0,199.0,1.40513068731849,459.0,59.59352394075095,130.0,1657.0,31.0,0.0,2189.0,4.867339162652584,3.8792624255490793,3.777670861995719,7.902527075812275,Industrials
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,0.0,131.25,1.365066225165563,-62.0,6.519102486355368,189.0,1657.0,29.0,0.0,153.0,7.577382156075796,11.856642163663711,11.842691472014465,0.38154613466334164,Industrials
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,0.0,131.25,1.365066225165563,-994.0,96.78593086719223,189.0,1657.0,29.0,0.0,2198.0,4.758437844738639,9.476483366769584,9.510588196866943,5.4812967581047385,Industrials
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,0.0,302.5,1.2509350561033663,242.0,6.985593911388964,212.0,1657.0,31.0,0.0,499.0,7.074200652857265,12.030033714161736,12.054918219885359,1.1088888888888888,Industrials
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,0.0,302.5,1.2509350561033663,-459.0,82.90296276162,212.0,1657.0,31.0,0.0,2591.0,4.851959335178502,10.19110772401981,10.275364441874446,5.757777777777778,Industrials
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,0.07198683669271905,84.11111111111111,1.153932901043135,225.0,9.79721475690203,279.0,1657.0,90.0,175.0,626.0,7.112200565968996,16.443428704614593,16.50167519530892,1.0556492411467115,Industrials
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,0.07198683669271905,84.11111111111111,1.153932901043135,-206.0,137.86953334962132,279.0,1657.0,90.0,175.0,5437.0,4.413876226445623,8.138929027021513,8.100693430783124,9.168634064080944,Industrials
ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,0.058800922367409685,51.22222222222222,1.1223958333333333,655.0,1.6705336426914155,325.0,1657.0,85.0,153.0,727.0,5.498266550875042,11.497912112933939,11.451087713868247,1.0520984081041969,Industrials
ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,0.058800922367409685,51.22222222222222,1.1223958333333333,-225.0,93.01624129930394,325.0,1657.0,85.0,153.0,3784.0,3.216587486171396,8.95649064968671,8.92046832586415,5.476121562952243,Industrials
ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,0.05390070921985816,56.94736842105263,1.1631155303030303,552.0,8.0602483207816,376.0,1657.0,73.0,152.0,948.0,5.95547316730245,12.167451631016934,12.142542134526657,1.1864831038798498,Industrials
ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,0.05390070921985816,56.94736842105263,1.1631155303030303,161.0,80.11398330958681,376.0,1657.0,73.0,152.0,4097.0,3.7196407615144977,6.14472523954761,6.149200709700553,5.127659574468085,Industrials
ABB,Mar 2023,17.74163395027108,22.546270330902974,29.767879548306148,0.03544542032622334,75.375,1.1740561896400352,745.0,2.766872312581791,447.0,1657.0,73.0,113.0,893.0,5.498472273973998,9.860685308384355,9.885569663816618,0.9409905163329821,Industrials
ABB,Mar 2023,17.74163395027108,22.546270330902974,29.767879548306148,0.03544542032622334,75.375,1.1740561896400352,-922.0,87.84819592447187,447.0,1657.0,73.0,113.0,3777.0,4.414079834968243,6.551025272922528,6.5822373056758865,3.9799789251844047,Industrials
ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,0.022438496891051634,121.08333333333333,1.1263238975544,797.0,7.112326893486067,565.0,1657.0,73.0,83.0,1213.0,6.296966359200318,11.689665946634943,11.694816087134608,1.009991673605329,Industrials
ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,0.022438496891051634,121.08333333333333,1.1263238975544,1095.0,84.51017267909045,565.0,1657.0,73.0,83.0,6038.0,3.549253283074605,8.49238229475886,8.485606320461002,5.027477102414655,Industrials
ABB,Sep 2024,,,0.0,0.017040613462084634,,0.0,0.0,,,1657.0,,60.0,0.0,-100.0,-100.0,,,Industrials
ADANIENSOL,Mar 2014,,,0.0,0.0,,,0.0,,0.0,175.0,,0.0,0.0,,,,,Energy
ADANIENSOL,Mar 2015,-5.343511450381679,77.09923664122137,-0.6463527239150507,8.95752539242844,1.3835616438356164,0.011399234249912982,-1899.0,1422.9007633587787,0.0,175.0,0.0,9701.0,-35.0,,,,5.0,Energy
