company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,broad_sector,company_name,peer_group_name,is_benchmark,peer_score_roe,peer_score_margin,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
TCS,Mar 2019,21.549469831971216,26.973365286795982,35.28609440332715,0.000693155646982537,199.52525252525248,1.2858798430215714,30238.0,1.1231505567959144,84.0,281.0,36.0,62.0,28593.0,4.422530743483066,3.6701454332487278,4.626307095500715,0.9059311830682466,Information Technology,Tata Consultancy Services Ltd,IT Services,1.0,77.77777777777779,85.71428571428571,86.66666666666667,88.88888888888889,83.98589065255733,90.0
INFY,Mar 2018,22.729077451008195,26.68954368849437,24.689247262141308,0.0,,0.8887572622213259,17751.0,6.427781401548454,37.0,218.0,59.0,0.0,13218.0,11.81289987999634,11.195742367356234,11.994446021554527,0.8246303574770728,Information Technology,Infosys Ltd,IT Services,0.0,47.77777777777778,95.23809523809523,88.88888888888889,81.11111111111111,74.86772486772487,90.0
LTIM,Mar 2014,20.243902439024392,23.3130081300813,61.86335403726707,0.06832298136645963,37.0,1.8454613653413356,808.0,3.658536585365853,309.0,711.0,55.0,110.0,628.0,,,,0.6305220883534136,Information Technology,LTIMindtree Ltd,IT Services,0.0,100.0,72.61904761904762,60.0,22.22222222222222,67.74250440917108,90.0
HCLTECH,Jun 2014,20.3086112493778,24.99688899950224,33.39130434782609,0.05207161125319693,70.48245614035088,1.0721814543028685,1615.0,15.063464410154307,23.0,254.0,11.0,1018.0,6457.0,,,,0.989123774509804,Information Technology,HCL Technologies Ltd,IT Services,0.0,73.33333333333333,73.80952380952381,63.33333333333333,31.11111111111111,61.8342151675485,90.0
TECHM,Mar 2014,16.28550154238911,22.189128816083397,33.34785449793073,0.03953387061642344,52.15,1.1795483061480552,1887.0,1.5477076906712053,32.0,270.0,15.0,363.0,1596.0,,,,0.5212279555845852,Information Technology,Tech Mahindra Ltd,IT Services,0.0,72.22222222222221,46.42857142857143,65.55555555555556,36.666666666666664,57.10758377425045,90.0
