company_id,company_name,broad_sector,composite_quality_score,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,free_cash_flow_cr,cash_from_operations_cr,cfo_to_pat,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5y_pct,debt_to_equity,interest_coverage,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,revenue
ICICIBANK,ICICI Bank Ltd,Financials,3.413207178663657,17.99027109750765,,28.8880112339828,12547,157284,,17.25086850260209,51.94877118224903,55.18455739153598,6.445624336310825,1.301063746373592,,,,16,,
VBL,,,1.137488106565176,,,13.10228760206943,-897,2391,,25.73551571169457,47.60541542199497,43.09690811052555,0.0,12.72945205479452,,,,16,,
CANBK,Canara Bank,Financials,0.976949548730602,16.71605179468811,,13.93516047014541,13296,15046,,18.17561078322378,85.77528500681741,53.4206382524911,14.86741992554243,1.610905536549605,,,,19,,
HDFCBANK,HDFC Bank Ltd,Financials,0.2913699844146319,14.33974005030719,,23.07288232992184,35669,19069,,21.95098428169122,23.86506357287908,15.42478808253083,6.808786667718384,1.400897495697489,,,,23,,
BANKBARODA,Bank of Baroda,Financials,-0.3325030473263024,15.7618637908999,,15.93948250956673,-7559,-6274,,17.47729766589095,74.50588066551305,55.18455739153598,12.14371872728944,1.896619513654429,,,,21,,
INDUSINDBK,IndusInd Bank Ltd,Financials,-1.881899441340782,14.25227319776423,,19.56369677362945,-17468,-16843,,15.49561308335803,22.07746495394836,15.89562187541786,6.885742949503957,1.87878142309331,,,,14,,
